token,status,current_definition,family,domain,primary_model,primary_cosine,primary_family_rank,secondary_model,secondary_cosine,secondary_family_rank,proposed_definition,reviewer_decision,reviewer_notes
missions,likely_wrong,"A term statistically associated with lunar, moon, spacecraft, engineers. Selected corpus use: simple probability; alternative contexts: event plan, loss disappointment.",reasoning_verification,simple_probability,mixedbread-ai/mxbai-embed-large-v1,0.42995685338974,7,sentence-transformers/all-MiniLM-L6-v2,0.2997358441352844,7,Organized tasks or journeys undertaken for a specific purpose.,pending,
boring,likely_wrong,"A term statistically associated with coffee, bet, company, day. Selected corpus use: event registration; alternative contexts: email, technical explanation.",practical_action,event_registration,mixedbread-ai/mxbai-embed-large-v1,0.4328048527240753,7,sentence-transformers/all-MiniLM-L6-v2,0.08686459809541702,12,Not interesting or engaging; likely to cause weariness.,pending,
youngest,likely_wrong,"A term statistically associated with assassination, president, age, award. Selected corpus use: peripheral; alternative contexts: achievement, loss disappointment.",troubleshooting,peripheral,mixedbread-ai/mxbai-embed-large-v1,0.4376409649848938,12,sentence-transformers/all-MiniLM-L6-v2,0.22891771793365479,9,The least old member of a group.,pending,
wanted,likely_wrong,"A term statistically associated with knew, didn't, told, wasn't. Selected corpus use: travel information; alternative contexts: small project, learning plan.",grounded_qa,travel_information,mixedbread-ai/mxbai-embed-large-v1,0.4453282356262207,6,sentence-transformers/all-MiniLM-L6-v2,-0.009605040773749352,6,"Desired or sought, sometimes by legal authorities.",pending,
resident,likely_wrong,"A term statistically associated with evil, foreign, concern, spent. Selected corpus use: writing prompts; alternative contexts: email, support reply.",brainstorming_creativity,writing_prompts,mixedbread-ai/mxbai-embed-large-v1,0.45068246126174927,7,sentence-transformers/all-MiniLM-L6-v2,0.07600798457860947,6,A person who lives in a particular place.,pending,
reaching,likely_wrong,"A term statistically associated with speeds, increased, fastest, mph. Selected corpus use: mathematics; alternative contexts: event plan, small project.",explanation_learning,mathematics,mixedbread-ai/mxbai-embed-large-v1,0.4581109285354614,6,sentence-transformers/all-MiniLM-L6-v2,0.14548572897911072,10,"Arriving at, extending to, or making contact with something.",pending,
besides,likely_wrong,"A term statistically associated with argue, concern, lonely, lots. Selected corpus use: course enrolment; alternative contexts: small project, event plan.",practical_action,course_enrolment,mixedbread-ai/mxbai-embed-large-v1,0.4583779573440552,13,sentence-transformers/all-MiniLM-L6-v2,0.17744043469429016,13,"In addition to, or apart from, what was already mentioned.",pending,
pairs,likely_wrong,"A term statistically associated with prompt, human, sentences, function. Selected corpus use: learning notes; alternative contexts: logical constraints, data literacy.",summarization_synthesis,learning_notes,mixedbread-ai/mxbai-embed-large-v1,0.4596208333969116,7,sentence-transformers/all-MiniLM-L6-v2,0.052579477429389954,7,Sets consisting of two related or matching things.,pending,
constantly,likely_wrong,"A term statistically associated with grants, shoot, calculus, stir. Selected corpus use: technical explanation; alternative contexts: small project, life science.",writing_transformation,technical_explanation,mixedbread-ai/mxbai-embed-large-v1,0.4647260904312134,6,sentence-transformers/all-MiniLM-L6-v2,0.043037205934524536,6,Continuously or repeatedly over a period of time.,pending,
putting,likely_wrong,"A term statistically associated with involves, productivity, things, cars. Selected corpus use: research notes; alternative contexts: learning plan, small project.",summarization_synthesis,research_notes,mixedbread-ai/mxbai-embed-large-v1,0.4651990234851837,6,sentence-transformers/all-MiniLM-L6-v2,0.13316446542739868,11,Placing something somewhere or bringing it into a stated condition.,pending,
maps,likely_wrong,"A term statistically associated with treasure, missions, search, spanning. Selected corpus use: project update; alternative contexts: file sync, network connection.",summarization_synthesis,project_update,mixedbread-ai/mxbai-embed-large-v1,0.4667713940143585,7,sentence-transformers/all-MiniLM-L6-v2,0.22150525450706482,11,"Representations showing places, relationships, or structured information.",pending,
indeed,likely_wrong,"A term statistically associated with showed, samples, breakfast, qualities. Selected corpus use: web form; alternative contexts: research notes, incident log.",troubleshooting,web_form,mixedbread-ai/mxbai-embed-large-v1,0.4676191210746765,6,sentence-transformers/all-MiniLM-L6-v2,0.10331006348133087,6,In fact; used to confirm or emphasize a statement.,pending,
virtually,likely_wrong,"A term statistically associated with identical, expected, products, found. Selected corpus use: research notes; alternative contexts: small project, learning plan.",summarization_synthesis,research_notes,mixedbread-ai/mxbai-embed-large-v1,0.4680643379688263,9,sentence-transformers/all-MiniLM-L6-v2,0.1200343444943428,11,"Almost entirely, or by means of a computer-generated environment.",pending,
merge,likely_wrong,"A term statistically associated with sort, sorted, algorithm, returns. Selected corpus use: feature ideas; alternative contexts: purchase decision, file sync.",brainstorming_creativity,feature_ideas,mixedbread-ai/mxbai-embed-large-v1,0.4697624146938324,12,sentence-transformers/all-MiniLM-L6-v2,0.159964919090271,9,To combine separate things into one whole.,pending,
interviews,likely_wrong,"A term statistically associated with says, pitch, weeks, videos. Selected corpus use: account access; alternative contexts: learning plan, purchase decision.",practical_action,account_access,mixedbread-ai/mxbai-embed-large-v1,0.4699540436267853,8,sentence-transformers/all-MiniLM-L6-v2,0.24641616642475128,12,Structured conversations in which questions are asked to obtain information.,pending,
aid,likely_wrong,"A term statistically associated with kit, lemon, clothing, coffee. Selected corpus use: peripheral; alternative contexts: physical safety, privacy security.",troubleshooting,peripheral,mixedbread-ai/mxbai-embed-large-v1,0.4703885316848755,7,sentence-transformers/all-MiniLM-L6-v2,0.1147662103176117,7,"Help, support, or a resource that makes a task easier.",pending,
drew,likely_wrong,"A term statistically associated with students, inspiration, praise, ship. Selected corpus use: financial decision; alternative contexts: instructions, argument.",safety_uncertainty,financial_decision,mixedbread-ai/mxbai-embed-large-v1,0.47709065675735474,14,sentence-transformers/all-MiniLM-L6-v2,0.01342589408159256,12,"Past tense of draw: made, pulled, attracted, or selected.",pending,
lifetime,likely_wrong,"A term statistically associated with awards, award, novels, million. Selected corpus use: support thread; alternative contexts: purchase decision, learning plan.",summarization_synthesis,support_thread,mixedbread-ai/mxbai-embed-large-v1,0.47767624258995056,12,sentence-transformers/all-MiniLM-L6-v2,0.19762322306632996,11,The period during which a person or thing exists or functions.,pending,
failures,likely_wrong,"A term statistically associated with intervention, crisis, equipment, bank. Selected corpus use: personal finance; alternative contexts: peripheral, network connection.",explanation_learning,personal_finance,mixedbread-ai/mxbai-embed-large-v1,0.4804367423057556,7,sentence-transformers/all-MiniLM-L6-v2,0.20206984877586365,6,Instances in which an intended result is not achieved.,pending,
enters,likely_wrong,"A term statistically associated with cycle, rainbow, bottom, light. Selected corpus use: small project; alternative contexts: feature ideas, learning plan.",planning_comparison,small_project,mixedbread-ai/mxbai-embed-large-v1,0.48771315813064575,6,sentence-transformers/all-MiniLM-L6-v2,0.09626606851816177,11,"Goes or comes into a place, system, or state.",pending,
survived,likely_wrong,"A term statistically associated with inhabitants, destruction, landing, sons. Selected corpus use: event registration; alternative contexts: network connection, small project.",practical_action,event_registration,mixedbread-ai/mxbai-embed-large-v1,0.48842525482177734,6,sentence-transformers/all-MiniLM-L6-v2,0.2193411886692047,8,"Remained alive, present, or functional despite danger or difficulty.",pending,
reveal,likely_wrong,"A term statistically associated with gender, pink, balloon, cake. Selected corpus use: research notes; alternative contexts: shopping arithmetic, logical constraints.",summarization_synthesis,research_notes,mixedbread-ai/mxbai-embed-large-v1,0.4904352128505707,6,sentence-transformers/all-MiniLM-L6-v2,0.0702212005853653,7,To make previously hidden information visible or known.,pending,
eternal,likely_wrong,"A term statistically associated with punishment, soul, happiness, cycle. Selected corpus use: technical explanation; alternative contexts: uncertain change, learning plan.",writing_transformation,technical_explanation,mixedbread-ai/mxbai-embed-large-v1,0.5015881657600403,7,sentence-transformers/all-MiniLM-L6-v2,0.21229517459869385,6,"Continuing without an end, or seeming to last indefinitely.",pending,
responsible,likely_wrong,"A term statistically associated with maintaining, emissions, attacks, producing. Selected corpus use: feature ideas; alternative contexts: financial decision, privacy security.",brainstorming_creativity,feature_ideas,mixedbread-ai/mxbai-embed-large-v1,0.5050803422927856,8,sentence-transformers/all-MiniLM-L6-v2,0.09893903136253357,7,"Accountable for an action, duty, or outcome.",pending,
offset,likely_wrong,"A term statistically associated with alphabet, consumer, letters, net. Selected corpus use: outreach; alternative contexts: interface copy, email.",brainstorming_creativity,outreach,mixedbread-ai/mxbai-embed-large-v1,0.5069103240966797,9,sentence-transformers/all-MiniLM-L6-v2,0.1313117891550064,9,"To counterbalance an effect, cost, amount, or position.",pending,
major,likely_wrong,"A term statistically associated with baseball, championships, golf, cities. Selected corpus use: project update; alternative contexts: small project, purchase decision.",summarization_synthesis,project_update,mixedbread-ai/mxbai-embed-large-v1,0.5072313547134399,9,sentence-transformers/all-MiniLM-L6-v2,0.2471974641084671,7,Important or large in scale; also a principal field of study.,pending,
tour,likely_wrong,"A term statistically associated with golf, world, grossing, museum. Selected corpus use: project update; alternative contexts: small project, travel plan.",summarization_synthesis,project_update,mixedbread-ai/mxbai-embed-large-v1,0.5104004144668579,10,sentence-transformers/all-MiniLM-L6-v2,0.3283360004425049,12,"A journey through several places, often for visits or performances.",pending,
nearly,likely_wrong,"A term statistically associated with years, percent, half, widespread. Selected corpus use: project update; alternative contexts: small project, travel plan.",summarization_synthesis,project_update,mixedbread-ai/mxbai-embed-large-v1,0.5105545520782471,8,sentence-transformers/all-MiniLM-L6-v2,0.17643475532531738,8,"Almost, but not completely.",pending,
primarily,likely_wrong,"A term statistically associated with fossil, agricultural, fuels, composed. Selected corpus use: technical explanation; alternative contexts: peripheral, data pipeline.",writing_transformation,technical_explanation,mixedbread-ai/mxbai-embed-large-v1,0.5127462148666382,7,sentence-transformers/all-MiniLM-L6-v2,0.14091111719608307,8,Mainly or for the most important part.,pending,
owning,likely_wrong,"A term statistically associated with pet, cat, property, responsibility. Selected corpus use: table comparison; alternative contexts: email, meeting notes.",reasoning_verification,table_comparison,mixedbread-ai/mxbai-embed-large-v1,0.5142859816551208,7,sentence-transformers/all-MiniLM-L6-v2,0.20957051217556,12,Having legal possession or control of something.,pending,
eagle,likely_wrong,"A term statistically associated with lunar, rays, module, bird. Selected corpus use: appointments; alternative contexts: file sync, network connection.",practical_action,appointments,mixedbread-ai/mxbai-embed-large-v1,0.5149292945861816,6,sentence-transformers/all-MiniLM-L6-v2,0.2251928597688675,9,"A large bird of prey with strong wings, talons, and eyesight.",pending,
