token,short_definition,classification_status,selected_rank,statistical_usages_json,family,domain,assignment_method,contextual_sources,context_score,role_prior_score,source_count,total_occurrences,surface_policy,statistical_gloss,definition_kind,definition_review_decision,definition_embedding_consensus
abundance,"A term statistically associated with scenery, hosts, parks, wildlife. Selected corpus use: event plan; alternative contexts: small project, purchase decision.",statistically_supported,2,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":2,""score"":14.63244086,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":56,""domain"":""small_project"",""family"":""planning_comparison"",""rank"":1,""score"":14.726633,""usage_gloss"":""The alternative statistical use places this term in small project contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":55,""domain"":""purchase_decision"",""family"":""planning_comparison"",""rank"":3,""score"":14.63244086,""usage_gloss"":""The alternative statistical use places this term in purchase decision contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":54,""domain"":""learning_plan"",""family"":""planning_comparison"",""rank"":4,""score"":14.58755001,""usage_gloss"":""The alternative statistical use places this term in learning plan contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":57,""domain"":""travel_plan"",""family"":""planning_comparison"",""rank"":5,""score"":14.58755001,""usage_gloss"":""The alternative statistical use places this term in travel plan contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.63244086,0.0,2,54,grounded_quoted_term,,,,
acceleration,"A term statistically associated with velocity, gravity, seconds, speed. Selected corpus use: event plan; alternative contexts: peripheral, data pipeline.",statistically_supported,2,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":2,""score"":14.67405405,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":93,""domain"":""peripheral"",""family"":""troubleshooting"",""rank"":1,""score"":14.76185961,""usage_gloss"":""The alternative statistical use places this term in peripheral contexts for troubleshooting."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":90,""domain"":""data_pipeline"",""family"":""troubleshooting"",""rank"":3,""score"":14.67225291,""usage_gloss"":""The alternative statistical use places this term in data pipeline contexts for troubleshooting."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":92,""domain"":""network_connection"",""family"":""troubleshooting"",""rank"":4,""score"":14.67225291,""usage_gloss"":""The alternative statistical use places this term in network connection contexts for troubleshooting."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":94,""domain"":""software_install"",""family"":""troubleshooting"",""rank"":5,""score"":14.67225291,""usage_gloss"":""The alternative statistical use places this term in software install contexts for troubleshooting."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.67405405,0.0,2,53,grounded_quoted_term,,,,
adventure,"A term statistically associated with supernatural, exciting, exploring, adventures. Selected corpus use: event plan; alternative contexts: network connection, learning plan.",statistically_supported,1,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":1,""score"":14.32355389,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":92,""domain"":""network_connection"",""family"":""troubleshooting"",""rank"":2,""score"":14.23542683,""usage_gloss"":""The alternative statistical use places this term in network connection contexts for troubleshooting."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":54,""domain"":""learning_plan"",""family"":""planning_comparison"",""rank"":3,""score"":14.19787993,""usage_gloss"":""The alternative statistical use places this term in learning plan contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":91,""domain"":""file_sync"",""family"":""troubleshooting"",""rank"":4,""score"":14.1887285,""usage_gloss"":""The alternative statistical use places this term in file sync contexts for troubleshooting."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":90,""domain"":""data_pipeline"",""family"":""troubleshooting"",""rank"":5,""score"":14.14887259,""usage_gloss"":""The alternative statistical use places this term in data pipeline contexts for troubleshooting."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.32355389,0.0,2,330,grounded_quoted_term,,,,
advocate,"A term statistically associated with decade, rights, women's, vocal. Selected corpus use: event plan; alternative contexts: purchase decision, travel plan.",statistically_supported,1,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":1,""score"":14.52594849,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":55,""domain"":""purchase_decision"",""family"":""planning_comparison"",""rank"":2,""score"":14.31643278,""usage_gloss"":""The alternative statistical use places this term in purchase decision contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":57,""domain"":""travel_plan"",""family"":""planning_comparison"",""rank"":3,""score"":14.31643278,""usage_gloss"":""The alternative statistical use places this term in travel plan contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":79,""domain"":""medical_information"",""family"":""safety_uncertainty"",""rank"":4,""score"":14.31643278,""usage_gloss"":""The alternative statistical use places this term in medical information contexts for safety uncertainty."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":54,""domain"":""learning_plan"",""family"":""planning_comparison"",""rank"":5,""score"":14.29595667,""usage_gloss"":""The alternative statistical use places this term in learning plan contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.52594849,0.0,2,54,grounded_quoted_term,,,,
affecting,"A term statistically associated with climate, personally, economic, toll. Selected corpus use: event plan; alternative contexts: small project, learning plan.",statistically_plausible,7,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":7,""score"":14.61579516,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":56,""domain"":""small_project"",""family"":""planning_comparison"",""rank"":1,""score"":14.88539796,""usage_gloss"":""The alternative statistical use places this term in small project contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":54,""domain"":""learning_plan"",""family"":""planning_comparison"",""rank"":2,""score"":14.78372483,""usage_gloss"":""The alternative statistical use places this term in learning plan contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":55,""domain"":""purchase_decision"",""family"":""planning_comparison"",""rank"":3,""score"":14.6994072,""usage_gloss"":""The alternative statistical use places this term in purchase decision contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":57,""domain"":""travel_plan"",""family"":""planning_comparison"",""rank"":4,""score"":14.6994072,""usage_gloss"":""The alternative statistical use places this term in travel plan contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.61579516,0.0,2,62,grounded_quoted_term,,,,
agreed,"A term statistically associated with reservation, agreement, upon, lawsuit. Selected corpus use: event plan; alternative contexts: life science, data literacy.",statistically_supported,1,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":1,""score"":14.12262491,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":33,""domain"":""life_science"",""family"":""explanation_learning"",""rank"":2,""score"":14.02093562,""usage_gloss"":""The alternative statistical use places this term in life science contexts for explanation learning."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":32,""domain"":""data_literacy"",""family"":""explanation_learning"",""rank"":3,""score"":14.00650153,""usage_gloss"":""The alternative statistical use places this term in data literacy contexts for explanation learning."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":83,""domain"":""incident_log"",""family"":""summarization_synthesis"",""rank"":4,""score"":14.00590793,""usage_gloss"":""The alternative statistical use places this term in incident log contexts for summarization synthesis."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":36,""domain"":""personal_finance"",""family"":""explanation_learning"",""rank"":5,""score"":13.97116963,""usage_gloss"":""The alternative statistical use places this term in personal finance contexts for explanation learning."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.12262491,0.0,2,183,grounded_quoted_term,,,,
aims,"A term statistically associated with invested, waste, engage, centers. Selected corpus use: event plan; alternative contexts: financial decision, privacy security.",statistically_supported,2,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":2,""score"":14.73459166,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":78,""domain"":""financial_decision"",""family"":""safety_uncertainty"",""rank"":1,""score"":14.89727195,""usage_gloss"":""The alternative statistical use places this term in financial decision contexts for safety uncertainty."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":81,""domain"":""privacy_security"",""family"":""safety_uncertainty"",""rank"":3,""score"":14.73459166,""usage_gloss"":""The alternative statistical use places this term in privacy security contexts for safety uncertainty."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":91,""domain"":""file_sync"",""family"":""troubleshooting"",""rank"":4,""score"":14.73459166,""usage_gloss"":""The alternative statistical use places this term in file sync contexts for troubleshooting."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":80,""domain"":""physical_safety"",""family"":""safety_uncertainty"",""rank"":5,""score"":14.700028,""usage_gloss"":""The alternative statistical use places this term in physical safety contexts for safety uncertainty."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.73459166,0.0,2,60,grounded_quoted_term,,,,
alien,"A term statistically associated with aliens, invasion, planet, encounters. Selected corpus use: event plan; alternative contexts: loss disappointment, life science.",statistically_supported,1,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":1,""score"":14.37792836,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":17,""domain"":""loss_disappointment"",""family"":""conversation_empathy"",""rank"":2,""score"":14.05513279,""usage_gloss"":""The alternative statistical use places this term in loss disappointment contexts for conversation empathy."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":33,""domain"":""life_science"",""family"":""explanation_learning"",""rank"":3,""score"":14.0161168,""usage_gloss"":""The alternative statistical use places this term in life science contexts for explanation learning."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":75,""domain"":""simple_probability"",""family"":""reasoning_verification"",""rank"":4,""score"":13.99925328,""usage_gloss"":""The alternative statistical use places this term in simple probability contexts for reasoning verification."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":20,""domain"":""uncertain_change"",""family"":""conversation_empathy"",""rank"":5,""score"":13.94503065,""usage_gloss"":""The alternative statistical use places this term in uncertain change contexts for conversation empathy."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.37792836,0.0,2,139,grounded_quoted_term,,,,
animal,"A term statistically associated with species, animals, wild, land. Selected corpus use: event plan; alternative contexts: writing prompts, low cost activity.",statistically_supported,1,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":1,""score"":14.04077796,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":7,""domain"":""writing_prompts"",""family"":""brainstorming_creativity"",""rank"":2,""score"":13.95480335,""usage_gloss"":""The alternative statistical use places this term in writing prompts contexts for brainstorming creativity."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":3,""domain"":""low_cost_activity"",""family"":""brainstorming_creativity"",""rank"":3,""score"":13.88166256,""usage_gloss"":""The alternative statistical use places this term in low cost activity contexts for brainstorming creativity."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":6,""domain"":""workflow"",""family"":""brainstorming_creativity"",""rank"":4,""score"":13.86515165,""usage_gloss"":""The alternative statistical use places this term in workflow contexts for brainstorming creativity."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":2,""domain"":""lesson_activity"",""family"":""brainstorming_creativity"",""rank"":5,""score"":13.85555493,""usage_gloss"":""The alternative statistical use places this term in lesson activity contexts for brainstorming creativity."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.04077796,0.0,2,659,grounded_quoted_term,,,,
asleep,"A term statistically associated with fall, wake, bed, fell. Selected corpus use: event plan; alternative contexts: web form, small project.",statistically_supported,1,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":1,""score"":14.45867999,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":95,""domain"":""web_form"",""family"":""troubleshooting"",""rank"":2,""score"":14.24496469,""usage_gloss"":""The alternative statistical use places this term in web form contexts for troubleshooting."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":56,""domain"":""small_project"",""family"":""planning_comparison"",""rank"":3,""score"":14.24374829,""usage_gloss"":""The alternative statistical use places this term in small project contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":83,""domain"":""incident_log"",""family"":""summarization_synthesis"",""rank"":4,""score"":14.17053835,""usage_gloss"":""The alternative statistical use places this term in incident log contexts for summarization synthesis."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":54,""domain"":""learning_plan"",""family"":""planning_comparison"",""rank"":5,""score"":14.13453907,""usage_gloss"":""The alternative statistical use places this term in learning plan contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.45867999,0.0,2,85,grounded_quoted_term,,,,
