token,consensus,current_definition,proposed_definition,family,domain,primary_model,primary_signal,primary_token_delta,primary_bare_token_delta,primary_lexical_query_delta,primary_family_delta,primary_current_family_rank,primary_proposed_family_rank,secondary_model,secondary_signal,secondary_token_delta,secondary_bare_token_delta,secondary_lexical_query_delta,secondary_family_delta,secondary_current_family_rank,secondary_proposed_family_rank,reviewer_decision,reviewer_notes
nut,regressed_by_both,"A term statistically associated with nuts, peanut, fruit, butter. Selected corpus use: survey response; alternative contexts: event plan, names.","A hard-shelled edible seed, or a threaded metal fastener.",extraction_classification,survey_response,mixedbread-ai/mxbai-embed-large-v1,regressed,-0.12237459421157837,-0.09829103946685791,-0.14645814895629883,-0.30933231115341187,6,9,sentence-transformers/all-MiniLM-L6-v2,regressed,-0.12683498859405518,-0.12485110759735107,-0.12881886959075928,-0.41929781436920166,3,1,accepted,Accepted by operator.
seas,regressed_by_both,"A term statistically associated with oceans, sea, lakes, ships. Selected corpus use: financial decision; alternative contexts: event plan, life science.",Large bodies of salt water smaller than oceans.,safety_uncertainty,financial_decision,mixedbread-ai/mxbai-embed-large-v1,regressed,-0.06198522448539734,0.0006080865859985352,-0.12457853555679321,-0.42327362298965454,5,14,sentence-transformers/all-MiniLM-L6-v2,regressed,-0.062418922781944275,-0.02302652597427368,-0.10181131958961487,-0.6674927957355976,10,14,accepted,Accepted by operator.
trail,regressed_by_both,"A term statistically associated with hike, hiking, mile, trails. Selected corpus use: mathematics; alternative contexts: learning plan, travel plan.","A path, track, or sequence of evidence left behind.",explanation_learning,mathematics,mixedbread-ai/mxbai-embed-large-v1,regressed,-0.051839083433151245,0.00018709897994995117,-0.10386526584625244,-0.19470614194869995,7,11,sentence-transformers/all-MiniLM-L6-v2,regressed,-0.15115314722061157,-0.13752353191375732,-0.16478276252746582,-0.31910327076911926,9,13,accepted,Accepted by operator.
wearing,regressed_by_both,"A term statistically associated with dress, socks, mask, shirt. Selected corpus use: writing prompts; alternative contexts: work stress, uncertain change.","Having clothing or equipment on the body, or causing gradual damage through use.",brainstorming_creativity,writing_prompts,mixedbread-ai/mxbai-embed-large-v1,regressed,-0.03053155541419983,-0.005018055438995361,-0.0560450553894043,-0.21385902166366577,5,8,sentence-transformers/all-MiniLM-L6-v2,regressed,-0.056656986474990845,-0.011198222637176514,-0.10211575031280518,-0.3582475185394287,3,5,accepted,Accepted by operator.
climbing,needs_revision,"A term statistically associated with rope, rock, hiking, climb. Selected corpus use: survey response; alternative contexts: public transit, learning plan.","Moving upward using hands, feet, equipment, or gradual progress.",extraction_classification,survey_response,mixedbread-ai/mxbai-embed-large-v1,mixed,-0.015844404697418213,0.04304826259613037,-0.0747370719909668,-0.2910999655723572,7,8,sentence-transformers/all-MiniLM-L6-v2,regressed,-0.14395886659622192,-0.10042619705200195,-0.1874915361404419,-0.3966529667377472,7,3,accepted,Accepted by operator.
movements,needs_revision,"A term statistically associated with dance, spreading, body, visual. Selected corpus use: survey response; alternative contexts: life science, civics.","Changes of position, organized campaigns, or sections of music.",extraction_classification,survey_response,mixedbread-ai/mxbai-embed-large-v1,mixed,-0.01271030306816101,0.04748809337615967,-0.07290869951248169,-0.2209630012512207,7,5,sentence-transformers/all-MiniLM-L6-v2,regressed,-0.05487990379333496,-0.05684340000152588,-0.05291640758514404,-0.1553078293800354,10,4,accepted,Accepted by operator.
rides,needs_revision,"A term statistically associated with attractions, roller, riding, park. Selected corpus use: project update; alternative contexts: learning plan, small project.","Travels on or in a vehicle, animal, or moving attraction.",summarization_synthesis,project_update,mixedbread-ai/mxbai-embed-large-v1,mixed,0.015014082193374634,0.07573580741882324,-0.045707643032073975,-0.21742379665374756,10,7,sentence-transformers/all-MiniLM-L6-v2,regressed,-0.013731300830841064,0.01195603609085083,-0.03941863775253296,-0.4071565270423889,9,12,accepted,Accepted by operator.
tactics,needs_revision,"A term statistically associated with strategies, legends, marketing, awareness. Selected corpus use: course enrolment; alternative contexts: home repair, small project.",Specific methods used to achieve a short-term objective.,practical_action,course_enrolment,mixedbread-ai/mxbai-embed-large-v1,mixed,0.02047291398048401,0.07936710119247437,-0.03842127323150635,-0.22779780626296997,2,4,sentence-transformers/all-MiniLM-L6-v2,regressed,-0.07611732184886932,-0.0005517899990081787,-0.15168285369873047,-0.35415345430374146,3,6,accepted,Accepted by operator.
throws,needs_revision,"A term statistically associated with pitcher, ball, player, balls. Selected corpus use: uncertain change; alternative contexts: life science, peripheral.",Propels something through the air or causes a sudden state or event.,conversation_empathy,uncertain_change,mixedbread-ai/mxbai-embed-large-v1,regressed,-0.037655025720596313,-0.020358145236968994,-0.05495190620422363,-0.2197902798652649,7,1,sentence-transformers/all-MiniLM-L6-v2,mixed,-0.015552327036857605,-0.07397887110710144,0.04287421703338623,-0.48985689878463745,2,4,accepted,Accepted by operator.
ale,mixed,"A term statistically associated with pale, beer, alcohol, might. Selected corpus use: small project; alternative contexts: data pipeline, file sync.",A type of beer brewed using warm fermentation.,planning_comparison,small_project,mixedbread-ai/mxbai-embed-large-v1,regressed,-0.04183119535446167,0.0004399418830871582,-0.0841023325920105,-0.3568331003189087,11,9,sentence-transformers/all-MiniLM-L6-v2,improved,0.19551073759794235,0.24821417033672333,0.14280730485916138,-0.42472049593925476,12,11,accepted,Accepted by operator.
beneath,mixed,"A term statistically associated with lies, ocean, deep, underground. Selected corpus use: article excerpt; alternative contexts: small project, purchase decision.",In or to a lower position than something else.,summarization_synthesis,article_excerpt,mixedbread-ai/mxbai-embed-large-v1,mixed,-0.011932224035263062,0.02003270387649536,-0.043897151947021484,-0.2173175811767578,12,13,sentence-transformers/all-MiniLM-L6-v2,mixed,-0.01668649911880493,0.05151009559631348,-0.08488309383392334,-0.505597710609436,7,8,accepted,Accepted by operator.
